id;account_number;ifsc_code;account_name
1;plum;Investment Account;Home Loan Account
2;Swiss Franc;silver generating;Investment Account
3;Electronics;Saint Kitts and Nevis circuit Iowa;Checking Account
4;Producer Shoes Ball;Generic haptic Cambridgeshire;Auto Loan Account
5;Borders;sky blue Phased;Money Market Account
6;Clothing Supervisor;Massachusetts;Auto Loan Account
7;input Soft Tactics;sensor Tunnel Credit Card Account;Savings Account
8;Oklahoma;Naira;Investment Account
9;users 24 hour;Steel;Credit Card Account
10;Ford national;Buckinghamshire;Home Loan Account
