id;legal_name;reg_address;incorporation;pan_number;gst_in_number
1;Electronics definition Personal Loan Account;payment auxiliary transmitting;monitor;orchestrate value-added;Global Designer Fantastic
2;Oval Lebanese Pound;Bacon Generic;alarm;payment Technician Avon;bypassing alarm
3;indexing Ball synergies;forecast;USB;Auto Loan Account pink seamless;Incredible Plastic Tuna
4;Berkshire;Awesome Concrete Tuna Nakfa;Practical Granite Salad Adaptive;Handmade Plastic Shoes Savings Account;Massachusetts
5;Licensed Checking Account;Fantastic Rubber Table Coordinator;connect blue;navigating parsing;user-centric European Unit of Account 9(E.U.A.-9) Ball
6;invoice;Unbranded Computers protocol;Won;Rustic Frozen Fish Credit Card Account;Persistent
7;Practical Plastic Computer;Outdoors Indian Rupee;Developer Total;Direct;Chief bypassing
8;channels;calculate microchip calculate;haptic;navigate;Practical Auto Loan Account
9;withdrawal;Refined out-of-the-box invoice;withdrawal Fantastic;Unions actuating;HDD demand-driven RAM
10;Chair PCI;invoice infrastructures deposit;Missouri quantify;Fresh;Refined Rubber Tuna
