id;file_id;file_name;file_type;image_data;image_data_content_type
1;withdrawal;New Mexico;South Carolina Ohio invoice;../fake-data/blob/hipster.png;image/png
2;withdrawal morph;olive Yen systems;JBOD Seamless;../fake-data/blob/hipster.png;image/png
3;parsing Ball;ROI Tuna Clothing;white Avon viral;../fake-data/blob/hipster.png;image/png
4;Movies Data silver;CFA Franc BCEAO e-business invoice;Centralized Barbados Dollar;../fake-data/blob/hipster.png;image/png
5;flexibility Incredible Concrete Shirt;Platinum;visionary;../fake-data/blob/hipster.png;image/png
6;EXE;payment Bedfordshire;Applications;../fake-data/blob/hipster.png;image/png
7;Savings Account AGP;payment Bahraini Dinar Tasty Rubber Gloves;invoice Representative;../fake-data/blob/hipster.png;image/png
8;bandwidth Quality-focused Handmade;Table Delaware;microchip;../fake-data/blob/hipster.png;image/png
9;synthesizing;Assistant turn-key Coordinator;Checking Account Metal Florida;../fake-data/blob/hipster.png;image/png
10;optical;Sports Table;array empower alarm;../fake-data/blob/hipster.png;image/png
